Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
75,Flashdance...What a Feeling,Irene Cara,1983,https://www.youtube.com/watch?v=xuHwv07G3qE,34a9f886d111be4eae5c088726d4d6c1de0cd1ee289308a544cd05255a1ae7f5,Flashdance... What a Feeling (Radio Mix),CAU118300354
76,Second Hand Rose,Fanny Brice,1922,https://www.youtube.com/watch?v=aa7ENCjjcmE,c78eab6d75b7b34e4554d176051b2285673337ca45bb506d8fd6e59b67e394c9,Second Hand Rose,DEBL60642773
77,2002,Anne-Marie,2018,https://www.youtube.com/watch?v=elpT1UoL9m0,ede2bb3aae8001d58933ea66e92dc553001bf92b70ffc15df5353fd13f8f854e,Anne-Marie - 2002 | Lyrics,GBAHS1800094
78,Smells Like Teen Spirit,Nirvana,1991,https://www.youtube.com/watch?v=hTWKbfoikeg,30bc9e96e22d1be52917cc85e9fcfcedd327d9324b30235f2aefa3f1af3fe567,Nirvana - Smells Like Teen Spirit (Official Music Video),USGF19942501
79,Roxanne,The Police,1978,https://www.youtube.com/watch?v=3T1c7GkzRQQ,70be3dbed3e671be9da82ff39f1b7719be81bab6efbafb8511c2a6cd1df02376,The Police - Roxanne (Official Music Video),GBAAM0201086
80,Cars,Gary Numan,1979,https://www.youtube.com/watch?v=Im3JzxlatUs,8f1d36459740a3a6ad0063c558d916d3db88c6638f997d581ef237876d5be5da,Gary Numan - Cars HD,GBAZP9700067
81,Superstition,Stevie Wonder,1972,https://www.youtube.com/watch?v=7_tmeHCO1IM,d650cb2bcafd60dec9f14dcb7019ecb7385092aab9017d3f991a92dc2322fd11,Stevie Wonder - Superstition - (Official Video),USMO17200984
82,Hollaback Girl,Gwen Stefani,2004,https://www.youtube.com/watch?v=Kgjkth6BRRY,67edea41a3042a5f349a85e91b9fdddd797b744e44b0bfa7ad593adfe66af7d3,Gwen Stefani - Hollaback Girl (Official Music Video),USIR10400847
83,Mona Lisa,Nat King Cole,1950,https://www.youtube.com/watch?v=vUi745Lwc1k,799d9ff2ed2948205cf3ac720623b59cb77f96dabb019f060841848e80337c57,Mona Lisa (Remastered),USCA26100105
84,Take on Me,a-ha,1984,https://www.youtube.com/watch?v=djV11Xbc914,bd8f527ec2776d996a227d1b8dec775f7273712434008ae237d9aec4d8e48605,a-ha - Take On Me (Official Video) [4K],USWB19901214
85,Without You (feat. Sandro Cavazza),Avicii,2017,https://www.youtube.com/watch?v=WRz2MxhAdJo,c89256563a05da06fb985311c7e16837e3d5c7524bb4479a0456fe22fc3a8501,"Avicii - Without You ""Audio"" ft. Sandro Cavazza",SE5R71700101
86,Rehab,Amy Winehouse,2006,https://www.youtube.com/watch?v=KUmZp8pR1uc,e9581d4baf74336dd2b04d0113821ea755473b5eeb9ede61a0478524eb489ba7,Amy Winehouse - Rehab,GBUM70603730
87,Gangsta's Paradise,Coolio,1995,https://www.youtube.com/watch?v=Tw0_qHNRAEA,3a7fa3117a5a154583409dd45d8dbca3521259f7919c5a8e3915a49fa10b65f5,Gangsta's Paradise,USTB10400128
88,7 Years,Lukas Graham,2015,https://www.youtube.com/watch?v=LHCob76kigA,24ecf1fc202432d33e74a711b7baa1a1a8f5c5a24003f15fbdff90b4f2771cae,Lukas Graham - 7 Years [Official Music Video],USWB11506516
89,"I Like To Move It (feat. The Mad Stuntman) - Erick ""More"" Album Mix",Reel 2 Real,1993,https://www.youtube.com/watch?v=nphK5Ke3-Xc,f8e1800bddd554c86c38f629123bd6691061d734c276089b6e96d57819812bcb,Reel 2 Real - Go On Move (Official HD Video),QMRSZ1800990
90,That's Amore,Dean Martin,1953,https://www.youtube.com/watch?v=OnFlx2Lnr9Q,15512ac5669d76d2812597d010eefdbbe0f2d85f464fcf96ca374f2654cefa59,Dean Martin - That's Amore,USCA20100849
91,White Wedding – Part 1,Billy Idol,1982,https://www.youtube.com/watch?v=AAZQaYKZMTI,3e54b92b7b7fa2519464a1d9070e7ce67369be7f3ed663a1d2ffc0ce9c79ff76,Billy Idol - White Wedding Pt 1,USCH38800007
92,November Rain,Guns N' Roses,1991,https://www.youtube.com/watch?v=8x23ajWSHyo,7ccd266a60fb6c96b57fb8954e232acccc2e46c2f602d14f7e3789bd39115906,Guns N' Roses - November Rain,USGF19141510
93,Relax (Come Fighting),Frankie Goes To Hollywood,1984,https://www.youtube.com/watch?v=Yem_iEHiyJ0,06ec98aba3e614a42da36a411645f8e5f2c3cfb9c97353f954f65c926142511a,Frankie Goes To Hollywood - Relax (Official Video),GBAHW9900051
94,American Pie,Don McLean,1971,https://www.youtube.com/watch?v=PRpiBpDy7MQ,673d498b2a6173b71479bf68c091870a6dd86d8ec20f33ed6a12283eb9cf1f87,Don McLean - American Pie (Lyric Video),USEM38600088
95,If You Don't Know Me by Now,Simply Red,1989,https://www.youtube.com/watch?v=zTcu7MCtuTs,71936a1065375cd83e3baf5a0e705bdfcccce9585f4710215eba49616917461c,Simply Red - If You Don't Know Me By Now (Official Video),GBCRL0800110
96,Gettin' Jiggy Wit It,Will Smith,1997,https://www.youtube.com/watch?v=3JcmQONgXJM,ea2775c03b02166f534af8a9439a4aa8b7f08ff04418d42d76cb2a2788ca8355,Will Smith - Gettin' Jiggy Wit It,USSM19702582
97,Cotton Eye Joe,Rednex,1994,https://www.youtube.com/watch?v=mOYZaiDZ7BM,d637f3c9f68734dbef99dd0800b99de1edbd0bf0f66241f49f200b66a41e4678,Rednex - Cotton Eye Joe (Official Music Video) [HD] - RednexMusic com,DEA319600881
98,Shake It Off,Taylor Swift,2014,https://www.youtube.com/watch?v=nfWlot6h_JM,41197e8dfe7ea14326d48375a00d6607cfe7fbd0aff2675fca62e248fd8a74d2,Taylor Swift - Shake It Off,USCJY1431349
99,Tubthumping,Chumbawamba,1997,https://www.youtube.com/watch?v=2H5uWRjFsGc,dc03eefb78656f4f5ac36e8caa7e105d82dac554704026d008d920aafe0549ee,Chumbawamba - Tubthumping,USUR19700191
100,Build Me Up Buttercup,The Foundations,1968,https://www.youtube.com/watch?v=T-gBksUySFY,118490da8a2749f1a822cacc52bc3c36d073917597db1cbd42d82a8095f2012d,Build Me up Buttercup (Re-Recorded),GBAJE6800059
101,No One,Alicia Keys,2007,https://www.youtube.com/watch?v=rywUS-ohqeE,9bf34f95419ac6f733d3f2ffda9d0773f7e78c63b179ad776f11bfef931e40f4,Alicia Keys - No One (Official Music Video),USJAY0700190
102,Every Breath You Take,The Police,1983,https://www.youtube.com/watch?v=OMOGaugKpzs,b76d28067187df678c0ec77d5b5d7e7ccb97674c33b0e01390a179add62e12c8,The Police - Every Breath You Take (Official Music Video),GBAAM0201110
103,Crazy In Love (feat. JAYZ),Beyoncé,2003,https://www.youtube.com/watch?v=ViwtNLUqkMY,7e31969c34b63b85fb7182b566979e0b79d5d17ef946556e31841e166e6bd500,Beyoncé - Crazy In Love ft. JAY Z,USSM10305425
104,Enjoy the Silence,Depeche Mode,1990,https://www.youtube.com/watch?v=aGSKrC7dGcY,7680056b54fe35071d2d094cebcc5f2374c7590bd2bfb841d58ee64c13b5e4b3,Depeche Mode - Enjoy the Silence,GBAJH0600292
105,Ain't That A Shame,Fats Domino,1955,https://www.youtube.com/watch?v=I6JZW7zMDfY,badad5eb18c4369870805ada01af0b419bd5ae71ea12ef3030fdb77e5ed9c71c,FATS DOMINO - AIN'T THAT A SHAME 1955,USEM38700044
106,Escape (The Pina Colada Song),Rupert Holmes,1979,https://www.youtube.com/watch?v=FXG_I_tf_i4,937e8c54c029d4676dbf1910a07eb9ffec7f34a3a0ba99ff449384719c6335ca,Escape (The Pina Colada Song),USMC17948997
107,1979,The Smashing Pumpkins,1995,https://www.youtube.com/watch?v=4aeETEoNfOg,45c45166514788cc9b373f91fef0be3a62c648e76b1b7c201028ffde0789d443,The Smashing Pumpkins - 1979 (Official Music Video),USVI29500052
108,Devil Woman,Cliff Richard,1976,https://www.youtube.com/watch?v=IgomTOOgl8M,ea23550d4ec63d8015565e7d14c2d768703d4918a2103c1457c68a54a345c57d,Cliff Richard - Devil Woman (Official Video),GBAYE0100609
109,True Colors,Cyndi Lauper,1986,https://www.youtube.com/watch?v=2ecaYj14z3M,e5e9c1d41d6e4f6d696a06bf6a6c5332282d39a94749caeeac84c9c0f9e50119,Cyndi Lauper - True Colors (Official Lyric Video),USSM18600632
110,Bye Bye Love,The Everly Brothers,1957,https://www.youtube.com/watch?v=LRyrWN-fftE,9a24a9b92574d5f5661d30880ecf00ce3574e9ebf48b43735fa020c638b9243e,Everly Brothers - Bye Bye Love - Original HQ Audio,USWB19903261
111,These Boots Are Made for Walkin',Nancy Sinatra,1965,https://www.youtube.com/watch?v=TDmidrIDB4o,0fd7b9241acb95fcd27af6cd26d1fde906e2159ddfc57affb4e9f687d045ec4f,These Boots Are Made for Walkin',USWB10102872
